time_start_record;time_end_record;time_start_sending;time_end_sending;time_first_result;self.time_final_result
1436457771.92;1436457772.38;1436457772.86;1436457773.32;0;0
1436457773.69;1436457773.69;1436457774.43;1436457774.56;0;0
1436457774.85;1436457775.31;1436457775.32;1436457776.01;0;0
1436457776.01;1436457776.92;1436457776.47;1436457777.7;0;0
1436457777.39;1436457777.85;1436457777.85;1436457778.94;1436457778.75;1436457778.78
1436457778.78;1436457779.37;1436457779.37;1436457780.23;0;0
1436457779.71;1436457780.23;1436457780.23;1436457781.15;0;0
1436457781.67;1436457783.23;1436457782.28;1436457784.09;1436457782.8;1436457782.8
1436457783.63;1436457784.08;1436457784.09;1436457784.85;0;0
1436457784.6;1436457784.6;1436457785.09;1436457785.33;0;0
1436457786.23;1436457787.1;1436457787.1;1436457787.81;1436457787.65;1436457787.65
1436457787.56;1436457788.51;1436457788.01;1436457789.28;0;0
1436457789.39;1436457790.56;1436457790.34;1436457791.61;1436457791.22;1436457791.22
1436457791.48;1436457793.19;1436457792.17;1436457794.18;0;0
1436457793.64;1436457794.54;1436457794.18;1436457795.57;0;0
1436457794.93;1436457795.39;1436457795.57;1436457796.58;1436457796.5;1436457796.51
1436457804.69;1436457807.4;1436457805.27;1436457808.65;0;0
1436457808.79;1436457809.91;1436457809.41;1436457810.67;1436457810.46;1436457810.47
1436457812.26;1436457812.74;1436457812.74;1436457813.66;0;0
1436457813.71;1436457816.52;1436457814.37;1436457817.67;1436457816.0;1436457816.0
1436457818.67;1436457819.87;1436457819.12;1436457820.86;0;0
1436457820.33;1436457820.81;1436457820.86;1436457821.87;1436457821.66;1436457821.68
1436457821.72;1436457821.96;1436457821.96;1436457823.0;0;0
1436457822.5;1436457823.8;1436457823.36;1436457824.56;1436457823.51;1436457823.51
1436457824.3;1436457824.71;1436457824.71;1436457825.33;1436457825.45;1436457825.45
1436457826.37;1436457827.4;1436457826.81;1436457828.16;1436457827.52;1436457827.53
1436457829.34;1436457829.47;1436457829.89;1436457830.27;1436457830.42;1436457830.43
1436457830.27;1436457830.72;1436457830.72;1436457831.45;0;0
1436457832.46;1436457833.72;1436457832.96;1436457834.65;0;0
1436457833.95;1436457834.47;1436457834.65;1436457835.6;0;0
1436457836.57;1436457837.14;1436457837.14;1436457838.02;1436457837.41;1436457837.42
1436457838.59;1436457838.97;1436457839.2;1436457839.77;0;0
1436457840.68;1436457841.34;1436457841.41;1436457842.11;0;0
1436457842.86;1436457843.23;1436457843.0;1436457844.45;1436457844.04;1436457844.06
1436457845.04;1436457845.12;1436457845.32;1436457845.93;0;0
